DESKTOP-I9H7MOT:assignment motia$ python -m pstats lineardata2
Welcome to the profile statistics browser.
lineardata2% sort cumtime
lineardata2% stats
Sat Mar  2 12:52:35 2019    lineardata2

         11485862 function calls (11364415 primitive calls) in 24.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    117/1    0.001    0.000   24.663   24.663 {built-in method builtins.exec}
        1    0.000    0.000   24.663   24.663 hpnorton_products/linear_database.py:3(<module>)
        1    0.341    0.341   24.396   24.396 hpnorton_products/linear_database.py:45(import_data)
    29997    0.221    0.000   19.330    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:646(insert_one)
    29997    0.083    0.000   18.504    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:600(_insert)
    29997    0.258    0.000   18.383    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:551(_insert_one)
    29997    0.114    0.000   17.628    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1245(_retryable_write)
    29997    0.235    0.000   16.318    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1164(_retry_with_session)
    29997    0.110    0.000   13.466    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:570(_insert_command)
    30000    0.241    0.000   13.369    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:504(command)
    30000    0.358    0.000   12.761    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\network.py:52(command)
    30000    0.172    0.000    7.411    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\network.py:169(receive_message)
    60000    0.288    0.000    7.006    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\network.py:226(_receive_data_on_socket)
    60000    6.718    0.000    6.718    0.000 {method 'recv_into' of '_socket.socket' objects}
    30002    0.088    0.000    3.822    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1322(info)
    30002    0.083    0.000    3.718    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1445(_log)
    30000    3.087    0.000    3.087    0.000 {method 'sendall' of '_socket.socket' objects}
239996/179997    0.125    0.000    2.344    0.000 {built-in method builtins.next}
    30002    0.037    0.000    2.239    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1470(handle)
    30002    0.088    0.000    2.184    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1524(callHandlers)
    30002    0.056    0.000    2.096    0.000 D:\Python_3.7.0\lib\logging\__init__.py:841(handle)
    30002    0.032    0.000    1.963    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1072(emit)
    30002    0.078    0.000    1.931    0.000 D:\Python_3.7.0\lib\logging\__init__.py:971(emit)
    29999    0.164    0.000    1.362    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:657(_op_msg)
89997/59998    0.079    0.000    1.287    0.000 D:\Python_3.7.0\lib\contextlib.py:107(__enter__)
    59998    0.091    0.000    1.224    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1055(_get_socket)
89997/59998    0.112    0.000    1.142    0.000 D:\Python_3.7.0\lib\contextlib.py:116(__exit__)
    30002    0.050    0.000    1.091    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1430(makeRecord)
    30002    0.354    0.000    1.040    0.000 D:\Python_3.7.0\lib\logging\__init__.py:244(__init__)
    59998    0.078    0.000    1.011    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1568(_tmp_session)
    59998    0.065    0.000    0.926    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:979(get_socket)
    29999    0.787    0.000    0.913    0.000 {built-in method pymongo._cmessage._op_msg}
    30002    0.029    0.000    0.882    0.000 D:\Python_3.7.0\lib\logging\__init__.py:818(format)
    30002    0.102    0.000    0.852    0.000 D:\Python_3.7.0\lib\logging\__init__.py:556(format)
    29999    0.037    0.000    0.772    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\database.py:237(__getattr__)
    30002    0.076    0.000    0.756    0.000 D:\Python_3.7.0\lib\logging\__init__.py:960(flush)
    30001    0.048    0.000    0.715    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\database.py:251(__getitem__)
    29999    0.057    0.000    0.687    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:217(select_server)
    30001    0.360    0.000    0.668    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:75(__init__)
    30002    0.619    0.000    0.619    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    29999    0.033    0.000    0.575    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1555(_ensure_session)
    29999    0.153    0.000    0.542    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1506(__start_session)
    30002    0.119    0.000    0.539    0.000 D:\Python_3.7.0\lib\logging\__init__.py:489(formatTime)
    29999    0.164    0.000    0.515    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:1053(return_socket)
    29999    0.086    0.000    0.480    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:157(select_servers)
    29999    0.028    0.000    0.439    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1046(_get_topology)
    30000    0.058    0.000    0.412    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:132(open)
    30002    0.027    0.000    0.375    0.000 D:\Python_3.7.0\lib\ntpath.py:212(basename)
    29999    0.030    0.000    0.353    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:304(__exit__)
   422526    0.135    0.000    0.351    0.000 {built-in method builtins.isinstance}
    30001    0.055    0.000    0.349    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:460(_ensure_opened)
    30003    0.179    0.000    0.348    0.000 D:\Python_3.7.0\lib\ntpath.py:178(split)
    29999    0.134    0.000    0.328    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:1016(_get_socket_no_auth)
    29999    0.057    0.000    0.323    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:288(_end_session)
    29999    0.079    0.000    0.306    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:188(_select_servers_loop)
    30002    0.128    0.000    0.305    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1400(findCaller)
   239992    0.082    0.000    0.302    0.000 D:\Python_3.7.0\lib\abc.py:137(__instancecheck__)
    30014    0.066    0.000    0.298    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:40(__init__)
    29998    0.031    0.000    0.293    0.000 D:\Python_3.7.0\lib\site-packages\bson\objectid.py:83(__init__)
    29999    0.025    0.000    0.275    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1547(_get_server_session)
    29998    0.206    0.000    0.262    0.000 D:\Python_3.7.0\lib\site-packages\bson\objectid.py:180(__generate)
    30002    0.033    0.000    0.257    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server.py:40(open)
    29999    0.090    0.000    0.249    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:416(get_server_session)
   210041    0.215    0.000    0.247    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:57(__setitem__)
    89997    0.065    0.000    0.245    0.000 D:\Python_3.7.0\lib\contextlib.py:237(helper)
    60031    0.108    0.000    0.232    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:135(update)
    29999    0.036    0.000    0.231    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\thread_util.py:83(release)
    29999    0.037    0.000    0.230    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:1454(unpack_response)
    30002    0.031    0.000    0.224    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\monitor.py:71(open)
   239992    0.149    0.000    0.220    0.000 {built-in method _abc._abc_instancecheck}
    29999    0.027    0.000    0.215    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1551(_return_server_session)
    60004    0.111    0.000    0.215    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    29999    0.107    0.000    0.215    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1604(_receive_cluster_time)
    30002    0.212    0.000    0.212    0.000 {built-in method time.strftime}
    30002    0.208    0.000    0.208    0.000 {built-in method time.localtime}
    30000    0.069    0.000    0.208    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:217(apply_selector)
    29999    0.083    0.000    0.196    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:537(_apply_to)
    29999    0.071    0.000    0.195    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\thread_util.py:63(release)
    30000    0.193    0.000    0.193    0.000 {built-in method bson._cbson.decode_all}
    30003    0.074    0.000    0.193    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\periodic_executor.py:53(open)
    140/3    0.001    0.000    0.192    0.064 <frozen importlib._bootstrap>:978(_find_and_load)
    140/3    0.000    0.000    0.192    0.064 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    30002    0.041    0.000    0.189    0.000 D:\Python_3.7.0\lib\ntpath.py:201(splitext)
    29999    0.133    0.000    0.188    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:1469(unpack)
    29999    0.067    0.000    0.188    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:441(return_server_session)
    122/3    0.001    0.000    0.187    0.062 <frozen importlib._bootstrap>:663(_load_unlocked)
    100/3    0.000    0.000    0.186    0.062 <frozen importlib._bootstrap_external>:722(exec_module)
    161/3    0.000    0.000    0.185    0.062 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    89997    0.158    0.000    0.180    0.000 D:\Python_3.7.0\lib\contextlib.py:81(__init__)
    29997    0.031    0.000    0.177    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:447(validate_is_document_type)
    30001    0.058    0.000    0.166    0.000 D:\Python_3.7.0\lib\collections\__init__.py:413(_replace)
        1    0.000    0.000    0.163    0.163 D:\Python_3.7.0\lib\site-packages\pymongo\__init__.py:15(<module>)
    29999    0.051    0.000    0.150    0.000 D:\Python_3.7.0\lib\random.py:256(choice)
    29999    0.042    0.000    0.147    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:614(get_server_session)
    30002    0.077    0.000    0.137    0.000 D:\Python_3.7.0\lib\genericpath.py:117(_splitext)
    30003    0.066    0.000    0.124    0.000 D:\Python_3.7.0\lib\ntpath.py:44(normcase)
    30000    0.041    0.000    0.123    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:187(known_servers)
    30006    0.096    0.000    0.122    0.000 D:\Python_3.7.0\lib\ntpath.py:122(splitdrive)
    30001    0.062    0.000    0.118    0.000 D:\Python_3.7.0\lib\threading.py:1080(is_alive)
    89995    0.100    0.000    0.116    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:588(timed_out)
    18/11    0.000    0.000    0.115    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.115    0.115 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:15(<module>)
    29999    0.048    0.000    0.114    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:630(return_server_session)
    30002    0.017    0.000    0.112    0.000 D:\Python_3.7.0\lib\logging\__init__.py:540(formatMessage)
    30000    0.078    0.000    0.111    0.000 D:\Python_3.7.0\lib\threading.py:335(notify)
    89997    0.049    0.000    0.108    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:526(_in_transaction)
    30001    0.027    0.000    0.108    0.000 D:\Python_3.7.0\lib\collections\__init__.py:403(_make)
    29999    0.039    0.000    0.104    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server.py:136(get_socket)
    60004    0.049    0.000    0.104    0.000 D:\Python_3.7.0\lib\encodings\cp1252.py:18(encode)
      546    0.000    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      546    0.096    0.000    0.096    0.000 {built-in method nt.stat}
    30002    0.095    0.000    0.095    0.000 D:\Python_3.7.0\lib\logging\__init__.py:383(format)
    30000    0.065    0.000    0.094    0.000 D:\Python_3.7.0\lib\random.py:224(_randbelow)
      136    0.001    0.000    0.093    0.001 <frozen importlib._bootstrap>:882(_find_spec)
    29999    0.045    0.000    0.092    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:114(pop)
      123    0.000    0.000    0.091    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
      123    0.001    0.000    0.091    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
    30000    0.029    0.000    0.089    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:715(send_cluster_time)
    29998    0.059    0.000    0.089    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:1069(_check)
    60193    0.089    0.000    0.089    0.000 {built-in method __new__ of type object at 0x00007FFF1F8D8D30}
    59998    0.042    0.000    0.088    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:638(_clear_stale)
      324    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    29999    0.058    0.000    0.080    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:269(__init__)
    60004    0.058    0.000    0.080    0.000 D:\Python_3.7.0\lib\logging\__init__.py:798(acquire)
    29999    0.040    0.000    0.080    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:185(<listcomp>)
    30000    0.034    0.000    0.078    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:190(<listcomp>)
    30002    0.023    0.000    0.077    0.000 D:\Python_3.7.0\lib\logging\__init__.py:534(usesTime)
    30014    0.061    0.000    0.075    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:46(__new__)
    30003    0.056    0.000    0.072    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:641(__init__)
30030/30010    0.013    0.000    0.072    0.000 D:\Python_3.7.0\lib\abc.py:141(__subclasscheck__)
        2    0.000    0.000    0.071    0.035 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:1862(create_index)
        2    0.000    0.000    0.071    0.035 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:1832(__create_index)
    29997    0.058    0.000    0.070    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\results.py:62(__init__)
    30343    0.033    0.000    0.068    0.000 {method 'add' of 'set' objects}
