parelleldata% stats
Sat Mar  2 12:44:56 2019    parelleldata

         12017511 function calls (11895731 primitive calls) in 25.282 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30001    0.062    0.000    0.351    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:460(_ensure_opened)
    30002    0.187    0.000    0.347    0.000 D:\Python_3.7.0\lib\ntpath.py:178(split)
    29999    0.059    0.000    0.337    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:288(_end_session)
    29999    0.074    0.000    0.324    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:188(_select_servers_loop)
    29999    0.137    0.000    0.320    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:1016(_get_socket_no_auth)
    30014    0.064    0.000    0.309    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:40(__init__)
    29998    0.029    0.000    0.304    0.000 D:\Python_3.7.0\lib\site-packages\bson\objectid.py:83(__init__)
    30001    0.118    0.000    0.303    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1400(findCaller)
   239996    0.080    0.000    0.302    0.000 D:\Python_3.7.0\lib\abc.py:137(__instancecheck__)
    29999    0.028    0.000    0.282    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1547(_get_server_session)
    29998    0.217    0.000    0.275    0.000 D:\Python_3.7.0\lib\site-packages\bson\objectid.py:180(__generate)
    184/4    0.001    0.000    0.260    0.065 <frozen importlib._bootstrap>:978(_find_and_load)
    184/4    0.001    0.000    0.260    0.065 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    29999    0.045    0.000    0.255    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:1454(unpack_response)
    164/4    0.001    0.000    0.254    0.064 <frozen importlib._bootstrap>:663(_load_unlocked)
    136/4    0.000    0.000    0.254    0.064 <frozen importlib._bootstrap_external>:722(exec_module)
    29999    0.079    0.000    0.253    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:416(get_server_session)
    30002    0.031    0.000    0.252    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server.py:40(open)
    225/4    0.000    0.000    0.251    0.063 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    29999    0.126    0.000    0.246    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1604(_receive_cluster_time)
    60031    0.109    0.000    0.246    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:135(update)
   210041    0.214    0.000    0.245    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:57(__setitem__)
    30000    0.077    0.000    0.234    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:217(apply_selector)
    29999    0.032    0.000    0.230    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\thread_util.py:83(release)
    29999    0.028    0.000    0.227    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1551(_return_server_session)
   239996    0.151    0.000    0.222    0.000 {built-in method _abc._abc_instancecheck}
    30002    0.036    0.000    0.221    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\monitor.py:71(open)
    89997    0.064    0.000    0.218    0.000 D:\Python_3.7.0\lib\contextlib.py:237(helper)
    60002    0.108    0.000    0.211    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    30000    0.210    0.000    0.210    0.000 {built-in method bson._cbson.decode_all}
    30001    0.208    0.000    0.208    0.000 {built-in method time.strftime}
    30001    0.203    0.000    0.203    0.000 {built-in method time.localtime}
    29999    0.088    0.000    0.201    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:537(_apply_to)
    29999    0.065    0.000    0.200    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:441(return_server_session)
